Title,Year,Rating,Rank
The Triplets of Belleville,2003,7.7,694
The Player,1992,7.5,695
Shirkers,2018,7.3,696
I Remember Mama,1948,7.9,697
The Two of Us,1967,7.6,698
La Ronde,1950,7.5,699
Fists in the Pocket,1965,7.6,700
Get Out,2017,7.8,501
Son of Saul,2015,7.4,502
Being There,1979,7.9,503
The Magnificent Ambersons,1942,7.6,504
Inception,2010,8.8,505
The Twilight Samurai,2002,8.1,506
Ruggles of Red Gap,1935,7.6,507
Paisan,1946,7.6,508
Kanal,1957,7.9,509
Marius,1931,7.8,510
The Emperor's Naked Army Marches On,1987,8.2,511
Touchez pas au grisbi,1954,7.7,512
A Special Day,1977,8.1,513
The Story of a Cheat,1936,7.6,514
The Deer Hunter,1978,8.1,515
Brother's Keeper,1992,7.5,516
The Big Sick,2017,7.5,517
Almost Famous,2000,7.9,518
Roman Holiday,1953,8,519
The Flowers of St. Francis,1950,7.3,520
"Spring, Summer, Fall, Winter... and Spring",2003,8,521
Invasion of the Body Snatchers,1956,7.7,522
Patton,1970,7.9,523
The Lavender Hill Mob,1951,7.5,524
There Was a Father,1942,7.6,525
Diary of a Lost Girl,1929,7.8,526
E.T. the Extra-Terrestrial,1982,7.9,527
The Lost Weekend,1945,7.9,528
"I Was Born, But...",1932,7.9,529
Three Daughters,1961,7.9,530
Lessons of Darkness,1992,8,531
Time of the Gypsies,1988,8.1,532
Zootopia,2016,8,533
Elevator to the Gallows,1958,7.9,534
The Sting,1973,8.3,535
Freaks,1932,7.8,536
Days of Heaven,1978,7.8,537
I Know Where I'm Going!,1945,7.4,538
The Lady Vanishes,1938,7.7,539
Angels with Dirty Faces,1938,7.9,540
A Night to Remember,1958,7.9,541
My American Uncle,1980,7.6,542
About Elly,2009,7.9,543
Went the Day Well?,1942,7.5,544
Avanti Popolo,1986,7.6,545
Le Jour Se Leve,1939,7.7,546
A Short Film About Killing,1988,8,547
Alexander Nevsky,1938,7.5,548
Brooklyn,2015,7.5,549
Amy,2015,7.8,550
Kubo and the Two Strings,2016,7.7,551
Wild Tales,2014,8.1,552
Manhattan,1979,7.8,553
Stage Door,1937,7.7,554
Sleuth,1972,8,555
Trouble in Paradise,1932,7.9,556
Port of Shadows,1938,7.7,557
Ashes and Diamonds,1958,7.7,558
Stroszek,1977,7.7,559
My Life as a Zucchini,2016,7.8,560
Nobody Knows,2004,8,561
Eyes Without a Face,1960,7.6,562
Tristana,1970,7.4,563
My Left Foot,1989,7.8,564
Great Expectations,1946,7.8,565
Fires on the Plain,1959,8,566
Ship of Theseus,2012,8,567
All the President's Men,1976,7.9,568
Shoot the Piano Player,1960,7.4,569
Strike,1925,7.6,570
The Second Mother,2015,7.7,571
The Celebration,1998,8,572
Hail the Conquering Hero,1944,7.6,573
Incendies,2010,8.3,574
Rocco and His Brothers,1960,8.2,575
The Virgin Spring,1960,8,576
The Great Silence,1968,7.7,577
Le Million,1931,7.3,578
In the Shadow of the Moon,2007,8,579
The Vanishing,1988,7.7,580
Ninotchka,1939,7.8,581
Monsieur Verdoux,1947,7.8,582
This Sporting Life,1963,7.5,583
Deep Water,2006,7.8,584
Beauty and the Beast,1991,8,585
The Scarlet Empress,1934,7.5,586
Argo,2012,7.7,587
The Unknown Soldier,1955,8,588
Django Unchained,2012,8.5,589
Capernaum,2018,8.4,590
Embrace of the Serpent,2015,7.8,591
Searching for Sugar Man,2012,8.2,592
Masculine Feminine,1966,7.4,593
The Gospel According to St. Matthew,1964,7.6,594
Whisky Galore!,1949,7.1,595
My Happy Family,2017,7.4,596
Magical Girl,2014,7.2,597
Leave No Trace,2018,7.1,598
